d,T,N,u
1.0,0.2,10.0,0.9926963448524475
1.0,0.2,10.0,0.9923161268234253
1.0,0.2,10.0,0.992561399936676
1.0,0.2,10.0,0.9929032325744629
1.0,0.2,10.0,0.9923146963119507
1.0,0.5,10.0,0.9794764518737793
1.0,0.5,10.0,0.9772235751152039
1.0,0.5,10.0,0.9770510196685791
1.0,0.5,10.0,0.973491907119751
1.0,0.5,10.0,0.9788824319839478
1.0,1.0,10.0,0.9541189074516296
1.0,1.0,10.0,0.9563929438591003
1.0,1.0,10.0,0.9530999064445496
1.0,1.0,10.0,0.9547758102416992
1.0,1.0,10.0,0.9549704194068909
2.0,0.2,10.0,0.9916356801986694
2.0,0.2,10.0,0.9904733896255493
2.0,0.2,10.0,0.9919366836547852
2.0,0.2,10.0,0.988484799861908
2.0,0.2,10.0,0.9910494685173035
2.0,0.5,10.0,0.9461451768875122
2.0,0.5,10.0,0.9480915665626526
2.0,0.5,10.0,0.950096070766449
2.0,0.5,10.0,0.9532440900802612
2.0,0.5,10.0,0.947343647480011
2.0,1.0,10.0,0.9163154363632202
2.0,1.0,10.0,0.9140459895133972
2.0,1.0,10.0,0.9155434966087341
2.0,1.0,10.0,0.9150044918060303
2.0,1.0,10.0,0.9129349589347839
5.0,0.2,10.0,0.955380380153656
5.0,0.2,10.0,0.9194374680519104
5.0,0.2,10.0,0.9349514245986938
5.0,0.2,10.0,0.9546827077865601
5.0,0.2,10.0,0.9566148519515991
5.0,0.5,10.0,0.6714316606521606
5.0,0.5,10.0,0.633536159992218
5.0,0.5,10.0,0.6748440861701965
5.0,0.5,10.0,0.6739139556884766
5.0,0.5,10.0,0.628291666507721
5.0,1.0,10.0,0.32497546076774597
5.0,1.0,10.0,0.3293445110321045
5.0,1.0,10.0,0.3273043632507324
5.0,1.0,10.0,0.2921481132507324
5.0,1.0,10.0,0.32496464252471924
10.0,0.2,10.0,0.6412083506584167
10.0,0.2,10.0,0.6283525824546814
10.0,0.2,10.0,0.6301213502883911
10.0,0.2,10.0,0.7187116742134094
10.0,0.2,10.0,0.5939197540283203
10.0,0.5,10.0,0.3450357913970947
10.0,0.5,10.0,0.34255796670913696
10.0,0.5,10.0,0.3062934875488281
10.0,0.5,10.0,0.34378546476364136
10.0,0.5,10.0,0.3426574766635895
10.0,1.0,10.0,0.24446019530296326
10.0,1.0,10.0,0.2602502703666687
10.0,1.0,10.0,0.2417031079530716
10.0,1.0,10.0,0.24952152371406555
10.0,1.0,10.0,0.2451150268316269
